lamb,N,d,h,nb_layers,nb_head,para_head,loss
2.745783567428589,100,30,100,1,1,1,1.62151540517807
2.745783567428589,100,30,100,1,2,1,1.5911854720115661
2.745783567428589,100,30,100,1,3,1,1.5736957383155823
2.745783567428589,100,30,100,1,5,1,1.5741793847084045
2.745783567428589,100,30,100,1,6,1,1.5675117516517638
2.745783567428589,100,30,100,1,10,1,1.5728453993797302
2.745783567428589,100,30,100,1,15,1,1.5729726099967956
2.745783567428589,100,60,100,1,1,1,1.5049418807029724
2.745783567428589,100,60,100,1,2,1,1.4446018624305725
2.745783567428589,100,60,100,1,3,1,1.4074355816841126
2.745783567428589,100,60,100,1,5,1,1.382232539653778
2.745783567428589,100,60,100,1,6,1,1.3772507119178772
2.745783567428589,100,60,100,1,10,1,1.3621331715583802
2.745783567428589,100,60,100,1,15,1,1.3579251790046691
